bggid;owners;
12171;dominguez;
144041;costa;
163412;leiriacon;
30241;rola;
220778;leiriacon;
42910;costa;
218603;bdl;
284108;leiriacon;
8203;bdl;
256730;leiriacon;
156009;dominguez;
203780;bdl;
8045;rola;
3228;sentieiro;
3076;leiriacon;
228341;costa;
127997;leiriacon;
232043;bdl;
139842;leiriacon;
12;soledade;
114863;leiriacon;
256728;wyg;
245654;rola;
207691;leiriacon;
17133;soledade;
220877;leiriacon;
257834;leiriacon;
242684;leiriacon;
244228;leiriacon;
12962;costa;
164091;leiriacon;
241831;leiriacon;
191986;leiriacon;
5795;costa;
218293;leiriacon;
234093;leiriacon;
121921;wyg;
18;costa;
144344;andrade;
74390;leiriacon;
237182;wyg;
205498;leiriacon;
144733;andrade;
9220;leiriacon;
199561;bdl,leiriacon;
9217;wyg;
3;leiriacon;
276830;leiriacon;
8125;leiriacon;
104347;leiriacon;
259345;sentieiro;
169786;sentieiro;
108745;carlos;
188834;sentieiro;
170199;leiriacon;
277109;rola;
157969;bdl;
55600;soledade;
20551;leiriacon;
177678;leiriacon;
255037;leiriacon;
239964;leiriacon;
1705;costa;
246684;leiriacon;
170199;leiriacon;
206802;leiriacon;
162886;sentieiro;
148228;bdl,leiriacon;
63268;bdl;
166384;bdl,costa;
147020;bdl,rola;
27833;costa;
121410;leiriacon;
266980;leiriacon;
204;leiriacon;
34635;bdl,costa;
191004;costa;
257669;leiriacon;
267367;wyg;
186501;leiriacon;
192291;bdl;
230514;leiriacon;
257722;leiriacon;
475;leiriacon;
128;bdl;
34119;soledade;
238889;leiriacon;
24508;soledade;
118048;wyg;
275870;rola;
247694;costa;
17161;leiriacon;
229853;wyg;
120677;leiriacon;
167791;costa;
272427;leiriacon;
226322;leiriacon;
261529;leiriacon;
84876;rola;
240567;leiriacon;
192836;costa;
13004;leiriacon;
165884;leiriacon;
171668;carlos;
281259;carlos;
177875;leiriacon;
283863;leiriacon;
244992;costa;
193558;leiriacon;
129948;wyg;
24480;soledade;
555;leiriacon;
257759;leiriacon;
177538;leiriacon;
1345;leiriacon;
171623;andrade;
25821;dominguez;
30869;soledade;
282438;leiriacon;
182028;soledade;
503;soledade;
108906;andrade;
21790;leiriacon;
215;leiriacon;
9209;leiriacon;
14996;bdl;
14996;dominguez;
42;andrade;
1353;costa;
35570;soledade;
42215;soledade;
123540;wyg;
215463;leiriacon;
88;soledade;
191877;leiriacon;
250754;leiriacon;
121408;soledade;
102680;andrade;
175293;leiriacon;
163805;leiriacon;
904;costa;
30957;leiriacon;
281442;leiriacon;
73439;rola;
219512;leiriacon;
16747;andrade;
12333;carlos;
126163;leiriacon;
16986;bdl;
247763;costa;
94;costa;
25420;leiriacon;
193927;costa;
41002;leiriacon;
245371;leiriacon;
172;leiriacon;
233951;bdl;
2596;leiriacon;
104006;wyg;
224783;wyg;
175640;leiriacon;
87120;leiriacon;
194690;leiriacon,leiriacon;
189351;bdl;
183394;soledade;
3307;wyg;
491;soledade;
233867;leiriacon;
229265;leiriacon;
198454;wyg;
221318;leiriacon;
171672;costa;
266192;leiriacon;
165401;carlos;
20100;rola;
43528;wyg;
79068;leiriacon;
117915;wyg;
280575;costa;
266460;leiriacon;
196340;sentieiro;
12761;soledade;
22345;rola;
32996;leiriacon;
283294;leiriacon;
22864;costa;
160495;leiriacon;
27588;rola;
286096;soledade;
