bggid;name;rank;min_players;max_players;min_playtime;max_playtime;thumbnail;image
9216;Goa;176;2;4;90;90;https://cf.geekdo-images.com/9sbSKcc-Fm8Od5wwuf3kgg__thumb/img/pb63LQr94bzh4Z6ofLNJoijRlxU=/fit-in/200x150/filters:strip_icc()/pic1215969.jpg;https://cf.geekdo-images.com/9sbSKcc-Fm8Od5wwuf3kgg__original/img/ZO3q3cZqX_34C9i7MriB4u6txjk=/0x0/pic1215969.jpg
182874;Grand Austria Hotel;92;2;4;60;120;https://cf.geekdo-images.com/d4It-gdWY4GZVYSjbq20gQ__thumb/img/b_KgnMcnGbqF9xc3DdfLvVT-6Wo=/fit-in/200x150/filters:strip_icc()/pic2728138.jpg;https://cf.geekdo-images.com/d4It-gdWY4GZVYSjbq20gQ__original/img/4d_XZzAStbyODa6p8xhLyOpIMh8=/0x0/pic2728138.jpg
254088;Gravity Superstar;3624;2;6;15;30;https://cf.geekdo-images.com/p5Z3SJlMbuKS6KWVqlkGaw__thumb/img/G2_vRotPiOWAjRDyQX0XJ0mN5Lg=/fit-in/200x150/filters:strip_icc()/pic4185608.jpg;https://cf.geekdo-images.com/p5Z3SJlMbuKS6KWVqlkGaw__original/img/flSCp2BOOoYgGeDKaT1JAfSddfQ=/0x0/pic4185608.jpg
134157;Guilds of London;1465;1;4;45;90;https://cf.geekdo-images.com/T4uNtrQucW_V5SaQW9jA8w__thumb/img/MfCF85O0t4XmvY4nD-sYdu_kzF0=/fit-in/200x150/filters:strip_icc()/pic2958283.png;https://cf.geekdo-images.com/T4uNtrQucW_V5SaQW9jA8w__original/img/oVbI71aheHhS_aJVgomqYiUqNPY=/0x0/pic2958283.png
216578;Half-Pint Heroes;3437;2;7;30;60;https://cf.geekdo-images.com/W2Fs_l4yknRtXqQTc3O0fQ__thumb/img/QQaR7-pTg5Nyh4oq3IAUoWj1yiI=/fit-in/200x150/filters:strip_icc()/pic3465757.jpg;https://cf.geekdo-images.com/W2Fs_l4yknRtXqQTc3O0fQ__original/img/IwF5jzOMvCVUZq3S_6rl-oyqG3E=/0x0/pic3465757.jpg
98778;Hanabi;384;2;5;25;25;https://cf.geekdo-images.com/JDVksMwfcqoem1k_xtZrOA__thumb/img/amCeCcEKhYGbVtDvpvIMnu3qTg0=/fit-in/200x150/filters:strip_icc()/pic2007286.jpg;https://cf.geekdo-images.com/JDVksMwfcqoem1k_xtZrOA__original/img/Wkrf8z3pMlOFKwxafbw9-Ob404s=/0x0/pic2007286.jpg
227789;Heaven & Ale;263;2;4;60;90;https://cf.geekdo-images.com/P0B68R2CLFTuiD8M9lCYPQ__thumb/img/1Omy3H6zspL0HKrUjgdolrGxmwk=/fit-in/200x150/filters:strip_icc()/pic3563904.jpg;https://cf.geekdo-images.com/P0B68R2CLFTuiD8M9lCYPQ__original/img/CgF039HAcnv8hrIJ6y-wEULtKt8=/0x0/pic3563904.jpg
206859;Iberian Rails;4570;2;5;70;90;https://cf.geekdo-images.com/NS0v5lfG4oJX75D0Q588Vw__thumb/img/A7fMCsGtWMdVAg1M7zVVB6Ieew8=/fit-in/200x150/filters:strip_icc()/pic3142350.jpg;https://cf.geekdo-images.com/NS0v5lfG4oJX75D0Q588Vw__original/img/SbUJm06CsaMCofU9vXHZ-Lzw-c0=/0x0/pic3142350.jpg
177524;ICECOOL;854;2;4;30;30;https://cf.geekdo-images.com/jvfSbTGin9ZUioW4Rpi4Pw__thumb/img/b6he0ibAdBGM7T_lj918HG1aSbg=/fit-in/200x150/filters:strip_icc()/pic2937209.png;https://cf.geekdo-images.com/jvfSbTGin9ZUioW4Rpi4Pw__original/img/4XOLW5Vgrr8bJ5J_5IozKzns_xc=/0x0/pic2937209.png
13780;In the Shadow of the Emperor;1170;2;4;90;90;https://cf.geekdo-images.com/TkRov013PZd7vykW4YPIeQ__thumb/img/vvtL0OQbHfYSO3NP6Bxh9HCff0k=/fit-in/200x150/filters:strip_icc()/pic202677.jpg;https://cf.geekdo-images.com/TkRov013PZd7vykW4YPIeQ__original/img/c3INrDEs1xcsRYB8FK4xVaVodVc=/0x0/pic202677.jpg
