bggid;name;rank;min_players;max_players;min_playtime;max_playtime;thumbnail;image
244711;Newton;350;1;4;90;90;https://cf.geekdo-images.com/ZyCjYnNS6VFF1X7e6IFA1A__thumb/img/GW009LiSNJwiMx7Thb8TT9nSfDk=/fit-in/200x150/filters:strip_icc()/pic4058665.jpg;https://cf.geekdo-images.com/ZyCjYnNS6VFF1X7e6IFA1A__original/img/hYhscKRvn441Tebbv4OK6_aBtTs=/0x0/pic4058665.jpg
207351;Nimbee;11948;2;4;20;40;https://cf.geekdo-images.com/bfDVG6HC2VO0jPlm8-2oFw__thumb/img/ME8p97X-V6bC2H5mCCCNLMUlhmg=/fit-in/200x150/filters:strip_icc()/pic3155734.jpg;https://cf.geekdo-images.com/bfDVG6HC2VO0jPlm8-2oFw__original/img/th3a0mk7rC54wS5Z_6zaoN-f7MA=/0x0/pic3155734.jpg
154809;Nippon;309;2;4;60;120;https://cf.geekdo-images.com/DVJamHS1e24-scuM8aRH8g__thumb/img/GfDVi8Cdml30yla1ui0y3exXG7g=/fit-in/200x150/filters:strip_icc()/pic2683981.jpg;https://cf.geekdo-images.com/DVJamHS1e24-scuM8aRH8g__original/img/SZFgBrff-aSpci1q4PsLat9Z4sI=/0x0/filters:format(jpeg)/pic2683981.jpg
206931;Encore!;1016;1;6;20;20;https://cf.geekdo-images.com/3SDN2RboQKFA8Cwle7XaMA__thumb/img/XD7UyXcodX7Syxe33OEaVsevA2A=/fit-in/200x150/filters:strip_icc()/pic4731898.jpg;https://cf.geekdo-images.com/3SDN2RboQKFA8Cwle7XaMA__original/img/5bZ8_EGeajhUlvMI7Ou6oPcLLjk=/0x0/filters:format(jpeg)/pic4731898.jpg
233676;Noria;2325;2;4;70;120;https://cf.geekdo-images.com/A1H2QX5meUBthiEpX-gq8w__thumb/img/q4W2Kl7sBDxq8E4_GwVqLWertl0=/fit-in/200x150/filters:strip_icc()/pic5355459.jpg;https://cf.geekdo-images.com/A1H2QX5meUBthiEpX-gq8w__original/img/dvedrpIxF-258KFJlN_JJ0YBGHw=/0x0/filters:format(jpeg)/pic5355459.jpg
191438;North American Railways;3903;3;5;45;90;https://cf.geekdo-images.com/EhFHGbpihB7KBNEuDe0bJw__thumb/img/EydatDnC9as4K-Oiel7ujVS8oSk=/fit-in/200x150/filters:strip_icc()/pic3847804.png;https://cf.geekdo-images.com/EhFHGbpihB7KBNEuDe0bJw__original/img/KrVXX4Bs4uOZkMbbAc6bMSu1aqg=/0x0/filters:format(png)/pic3847804.png
25554;Notre Dame;285;2;5;45;75;https://cf.geekdo-images.com/d1g8Yh14XHf63H3VOC93AA__thumb/img/DwCJeQSpNHs_cX8FfWwNlKqDRSQ=/fit-in/200x150/filters:strip_icc()/pic199316.jpg;https://cf.geekdo-images.com/d1g8Yh14XHf63H3VOC93AA__original/img/au2Y5st7foP0ohkFEbFqAOPR7Nc=/0x0/filters:format(jpeg)/pic199316.jpg
286791;Numberplace City;;2;4;30;60;https://cf.geekdo-images.com/gghpwwJNZK8YD85K7ktEaw__thumb/img/VIPNM0M-05cvqJO0j3ZF2e1pQnU=/fit-in/200x150/filters:strip_icc()/pic4899973.jpg;https://cf.geekdo-images.com/gghpwwJNZK8YD85K7ktEaw__original/img/MVvz5qR65SKWK-bpqfv9BhLBQlU=/0x0/filters:format(jpeg)/pic4899973.jpg
234277;Nusfjord;379;1;5;20;100;https://cf.geekdo-images.com/nKYqNPEE94Zk_q5Vtk527w__thumb/img/b380XF_C0n--whN9elUn8jI__Yg=/fit-in/200x150/filters:strip_icc()/pic3729070.jpg;https://cf.geekdo-images.com/nKYqNPEE94Zk_q5Vtk527w__original/img/Bf35-bzWhSF8jMq8pfzubBxuNlU=/0x0/filters:format(jpeg)/pic3729070.jpg
172938;O Castelo de S. Jorge;;2;6;45;45;https://cf.geekdo-images.com/AA0GP50hBaayeacsg8R47A__thumb/img/SFQJLhcIGVdlYN6HjWf_yKoFevU=/fit-in/200x150/filters:strip_icc()/pic2410060.png;https://cf.geekdo-images.com/AA0GP50hBaayeacsg8R47A__original/img/9b4-bUl_FnFYJBMOnkit_Y90Hx8=/0x0/filters:format(png)/pic2410060.png
62518;O mistério do Marquês de Pombal;;2;8;60;60;https://cf.geekdo-images.com/ZwswqZZiCRZjB5AA2SXYew__thumb/img/83Pqo3-8Yl8yzreF8i9b8VDxuvk=/fit-in/200x150/filters:strip_icc()/pic611631.jpg;https://cf.geekdo-images.com/ZwswqZZiCRZjB5AA2SXYew__original/img/BChHMQnvmMhncEV8Ag2EMqktAR4=/0x0/filters:format(jpeg)/pic611631.jpg
242630;O Palácio do Marquês;11086;2;4;45;60;https://cf.geekdo-images.com/p2NvV3UZP6ESgaQKheMLeg__thumb/img/AMEIaANkFehpqn7Mm0Nmqen-0lg=/fit-in/200x150/filters:strip_icc()/pic3942032.jpg;https://cf.geekdo-images.com/p2NvV3UZP6ESgaQKheMLeg__original/img/InoP_F8mGBvFjrzG_ady2gqpPh8=/0x0/filters:format(jpeg)/pic3942032.jpg
70323;King of Tokyo;311;2;6;30;30;https://cf.geekdo-images.com/m_RzXpHURC0_xLkvRSR_sw__thumb/img/OfgWmkGJj5BgOO0zFHEtP5CHfbU=/fit-in/200x150/filters:strip_icc()/pic3043734.jpg;https://cf.geekdo-images.com/m_RzXpHURC0_xLkvRSR_sw__original/img/hSvWgiRYJCTTuoLOWTW3c8sYtl8=/0x0/filters:format(jpeg)/pic3043734.jpg
74553;S. Jorge Trophy;;2;6;90;90;https://cf.geekdo-images.com/lrEBNRVhRDn83719PIt44g__thumb/img/Yn3XtLWQHb_CFvx72b-y51n4L4I=/fit-in/200x150/filters:strip_icc()/pic757486.jpg;https://cf.geekdo-images.com/lrEBNRVhRDn83719PIt44g__original/img/ZmWzRsKtILPHy_xFumWbH8lJHUc=/0x0/filters:format(jpeg)/pic757486.jpg
231733;Obsession;568;1;4;30;90;https://cf.geekdo-images.com/-yrllMAWibLL1HQ0f_886A__thumb/img/EYcuHw1Q04vETXca2xXad7QusN8=/fit-in/200x150/filters:strip_icc()/pic5609594.jpg;https://cf.geekdo-images.com/-yrllMAWibLL1HQ0f_886A__original/img/Kp5ROzDzn6iIkUVV9gi4ECStwck=/0x0/filters:format(jpeg)/pic5609594.jpg
123219;OddVille;1721;2;4;30;60;https://cf.geekdo-images.com/VSpLBWdBYFifcmUak91yGA__thumb/img/fes6IW2ublVBYe18uJrT_D4sMTE=/fit-in/200x150/filters:strip_icc()/pic1358373.jpg;https://cf.geekdo-images.com/VSpLBWdBYFifcmUak91yGA__original/img/WXYdqfLCLw-RzMBBkaGnLB-JU2U=/0x0/filters:format(jpeg)/pic1358373.jpg
269160;Colors of Paris;2591;2;4;40;60;https://cf.geekdo-images.com/j16Xrf08-toGYZ04HqLoNw__thumb/img/xaIYrg5FuSjX6VRLLd3yL2fcyz4=/fit-in/200x150/filters:strip_icc()/pic4804321.jpg;https://cf.geekdo-images.com/j16Xrf08-toGYZ04HqLoNw__original/img/TA3aM9Uxs2uiSiwjyvJiEk_7UWc=/0x0/filters:format(jpeg)/pic4804321.jpg
53621;Oitavos;;2;6;60;90;https://cf.geekdo-images.com/8vb_cG8p71o6mWEIKBbRmw__thumb/img/OacT2YY1mE6HEyMmEkk2jPMnl3w=/fit-in/200x150/filters:strip_icc()/pic535826.jpg;https://cf.geekdo-images.com/8vb_cG8p71o6mWEIKBbRmw__original/img/uGFFuTkXc7-wPbb8bbzQqxwV184=/0x0/filters:format(jpeg)/pic535826.jpg
276004;On the Origin of Species;3277;2;4;45;80;https://cf.geekdo-images.com/qFZ0KtwllLi5yTi05ppkcA__thumb/img/4vRpAgr1FLJtMYokDGFOTDFCGvY=/fit-in/200x150/filters:strip_icc()/pic5497749.jpg;https://cf.geekdo-images.com/qFZ0KtwllLi5yTi05ppkcA__original/img/DokpsAEK5nt4J4FvMzF5nBupy04=/0x0/filters:format(jpeg)/pic5497749.jpg
255507;Orbis;1916;2;4;45;45;https://cf.geekdo-images.com/qGGMdUTeeZw5-1nTPuC4PA__thumb/img/-O1frZfWDGMzSESB5CuO2YuYhaU=/fit-in/200x150/filters:strip_icc()/pic4185945.jpg;https://cf.geekdo-images.com/qGGMdUTeeZw5-1nTPuC4PA__original/img/UI2lOn9T9X9NtqPgROJWCWSL7To=/0x0/filters:format(jpeg)/pic4185945.jpg
284949;Orchard Ocean;9631;3;4;60;90;https://cf.geekdo-images.com/Zd87IQmtO4OV4UPFIqUd2w__thumb/img/-fRkdeZkFqgLrijFuFU9rYyOBW0=/fit-in/200x150/filters:strip_icc()/pic4873414.jpg;https://cf.geekdo-images.com/Zd87IQmtO4OV4UPFIqUd2w__original/img/XAShsCKOts264jiZPq40AaZy8YI=/0x0/filters:format(jpeg)/pic4873414.jpg
287275;Orléans Stories;6286;2;4;60;180;https://cf.geekdo-images.com/t_pmmQxuZwVDQ4gHNqUvSA__thumb/img/A_cKJfTWuXt2dUu6aEuGUBiwV04=/fit-in/200x150/filters:strip_icc()/pic4911042.jpg;https://cf.geekdo-images.com/t_pmmQxuZwVDQ4gHNqUvSA__original/img/pQ40JY4HZ5p9ZeTAO7jComfghFQ=/0x0/filters:format(jpeg)/pic4911042.jpg
129050;P.I.;1907;2;5;45;60;https://cf.geekdo-images.com/n_jjFJfl5HFmxVKrKeZHcA__thumb/img/ubgup24pAztcK3Yf2iR_UR0AL74=/fit-in/200x150/filters:strip_icc()/pic1388461.jpg;https://cf.geekdo-images.com/n_jjFJfl5HFmxVKrKeZHcA__original/img/9x6sjNCit6bxKKM9ZVGeJwNKJF0=/0x0/filters:format(jpeg)/pic1388461.jpg
248167;Pandoria;3622;2;4;90;120;https://cf.geekdo-images.com/6AZ-2TlVB6AMsLJJ4Q2gEQ__thumb/img/DWQg87vfKPqYtAJnW1wBPkJKuJk=/fit-in/200x150/filters:strip_icc()/pic4280270.jpg;https://cf.geekdo-images.com/6AZ-2TlVB6AMsLJJ4Q2gEQ__original/img/W2hOMxDLArvLBuJofwIgsFtuNZA=/0x0/filters:format(jpeg)/pic4280270.jpg
255034;Papua;5384;2;4;75;75;https://cf.geekdo-images.com/fHlxsqclqSlr9erDfrDGxg__thumb/img/hOjPM5MX1nW4_7QSojRBM50pz8c=/fit-in/200x150/filters:strip_icc()/pic4232877.jpg;https://cf.geekdo-images.com/fHlxsqclqSlr9erDfrDGxg__original/img/4KuFa4V21bj81kdbyScCyUJ3eVg=/0x0/filters:format(jpeg)/pic4232877.jpg
5825;Paris Paris;3725;2;4;45;45;https://cf.geekdo-images.com/aMKC0dAlEsguZL-PWIzceA__thumb/img/NME_98Q10J4q6cj49TQMelEixdQ=/fit-in/200x150/filters:strip_icc()/pic72168.jpg;https://cf.geekdo-images.com/aMKC0dAlEsguZL-PWIzceA__original/img/etLvhEgOH5SHEK5Dh7L1ZCzQ9vg=/0x0/filters:format(jpeg)/pic72168.jpg
46213;Telestrations;252;4;8;30;30;https://cf.geekdo-images.com/oc3u6OQpJkf9TvDw4iI9xA__thumb/img/Otc-6MFf-HC9ep-82ub2B2rID78=/fit-in/200x150/filters:strip_icc()/pic4991936.jpg;https://cf.geekdo-images.com/oc3u6OQpJkf9TvDw4iI9xA__original/img/Hh2zbSnLEARMlNg0OzImf2-5FIw=/0x0/filters:format(jpeg)/pic4991936.jpg
163412;Patchwork;86;2;2;15;30;https://cf.geekdo-images.com/wLW7pFn0--20lEizEz5p3A__thumb/img/P49TUiytgjmRAtKsfO7Y3yU_xic=/fit-in/200x150/filters:strip_icc()/pic2270442.jpg;https://cf.geekdo-images.com/wLW7pFn0--20lEizEz5p3A__original/img/B1j7R-slq8wxgC71Sg1F7S1s7Kg=/0x0/filters:format(jpeg)/pic2270442.jpg
220778;Sticky Chameleons;5195;2;5;20;20;https://cf.geekdo-images.com/IVlPc1rUS6moDJVwTJn6oQ__thumb/img/bvLlsOTNWZBH3DVy58dDTw8-Kj0=/fit-in/200x150/filters:strip_icc()/pic3613442.jpg;https://cf.geekdo-images.com/IVlPc1rUS6moDJVwTJn6oQ__original/img/tMXTLJ5brd5AnfEDf_GeG81tISI=/0x0/filters:format(jpeg)/pic3613442.jpg
284108;Pictures;2356;3;5;20;30;https://cf.geekdo-images.com/pR7dcr6bs5TIOHOhKIoe_A__thumb/img/YYa8rvA3RgJS6aT-HT2NRegGmuA=/fit-in/200x150/filters:strip_icc()/pic4946885.jpg;https://cf.geekdo-images.com/pR7dcr6bs5TIOHOhKIoe_A__original/img/YGaDDOA-Jtr9eS60TNUx51J36Ds=/0x0/filters:format(jpeg)/pic4946885.jpg
256730;Pipeline;439;2;4;60;120;https://cf.geekdo-images.com/x39hXnP-GkLN1CDEq932oA__thumb/img/xxiGCk0hEUpP3hOtItpKI3sKZfo=/fit-in/200x150/filters:strip_icc()/pic4227162.jpg;https://cf.geekdo-images.com/x39hXnP-GkLN1CDEq932oA__original/img/dns582_OrWD9ZbABtUmXcQOxguQ=/0x0/filters:format(jpeg)/pic4227162.jpg
3076;Puerto Rico;27;3;5;90;150;https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__thumb/img/5fLo89ChZH6Wzukk36bhZ-EpBS0=/fit-in/200x150/filters:strip_icc()/pic158548.jpg;https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__original/img/DOgIp57F7tKZvxeITGAd3e_Q9as=/0x0/filters:format(jpeg)/pic158548.jpg
127997;Qin;1581;2;4;30;30;https://cf.geekdo-images.com/_HF37JoDdYrBDmXve6cZJA__thumb/img/WcS9XDDBzmyiRrcrQsbRUBX1hTU=/fit-in/200x150/filters:strip_icc()/pic1405247.jpg;https://cf.geekdo-images.com/_HF37JoDdYrBDmXve6cZJA__original/img/6TXhzW2td9wmARNHRORm0t7tEhc=/0x0/filters:format(jpeg)/pic1405247.jpg
139842;Quinto Império;14372;2;4;40;90;https://cf.geekdo-images.com/esKm1azgcjX1mFF6xdXwxw__thumb/img/pLd8qenWp4gHroYtDXat-AdLenI=/fit-in/200x150/filters:strip_icc()/pic1600048.jpg;https://cf.geekdo-images.com/esKm1azgcjX1mFF6xdXwxw__original/img/BnDjgVUzCnIVRjgfRmtVovj-Rvo=/0x0/filters:format(jpeg)/pic1600048.jpg
114863;Ragami;12654;2;4;90;90;https://cf.geekdo-images.com/N-zNV5M01_xVcLBE06RjEg__thumb/img/MkP5n-1LMo8qr_x5ktm0ykmqizw=/fit-in/200x150/filters:strip_icc()/pic1208177.jpg;https://cf.geekdo-images.com/N-zNV5M01_xVcLBE06RjEg__original/img/kC9OJOCg3qvtyX52IhmMiLJepZA=/0x0/filters:format(jpeg)/pic1208177.jpg
207691;Railroad Revolution;797;2;4;45;90;https://cf.geekdo-images.com/0A9aGzLzmBxN_M6rgpb6Dg__thumb/img/pupJXts3kO3x05Ki-lhREAPWrhw=/fit-in/200x150/filters:strip_icc()/pic3200781.jpg;https://cf.geekdo-images.com/0A9aGzLzmBxN_M6rgpb6Dg__original/img/HEY1bQT6vQvTpcfVieS0P7wSRJU=/0x0/filters:format(jpeg)/pic3200781.jpg
220877;Rajas of the Ganges;161;2;4;45;75;https://cf.geekdo-images.com/hR5sxxqNY3gjvLwifaqRww__thumb/img/dPZ7zqlIVCt4xiWfISkpujiwKwk=/fit-in/200x150/filters:strip_icc()/pic3646165.jpg;https://cf.geekdo-images.com/hR5sxxqNY3gjvLwifaqRww__original/img/kaXHOjBJX-URkjTjhQUhFl7E8Ng=/0x0/filters:format(jpeg)/pic3646165.jpg
257834;Ramen;8392;2;5;15;30;https://cf.geekdo-images.com/qhEPncqxmkQQWP3jHdLBmg__thumb/img/-2X0wtzsMnI7PhRSzQWlCBO-P7Q=/fit-in/200x150/filters:strip_icc()/pic4253759.jpg;https://cf.geekdo-images.com/qhEPncqxmkQQWP3jHdLBmg__original/img/QQpvApDXl5B3kJSK2hjyyZ0P6rk=/0x0/filters:format(jpeg)/pic4253759.jpg
242684;Reavers of Midgard;1009;2;4;60;120;https://cf.geekdo-images.com/RCV5d4ZMgzm20MosK3zADQ__thumb/img/MYsrcgv_ztbdhHkSboUN4jfOJjo=/fit-in/200x150/filters:strip_icc()/pic3916976.png;https://cf.geekdo-images.com/RCV5d4ZMgzm20MosK3zADQ__original/img/TQBvSyATFkPKRmILIC14phaxpfQ=/0x0/filters:format(png)/pic3916976.png
244228;Reef;604;2;4;30;45;https://cf.geekdo-images.com/I3BgmkjP3g6cRQ4cejoHrg__thumb/img/JDWcuLadW0pHSAh7fybzRRXNZZ8=/fit-in/200x150/filters:strip_icc()/pic5376430.png;https://cf.geekdo-images.com/I3BgmkjP3g6cRQ4cejoHrg__original/img/m0FXYQ2cNByp2YXLSK632rcH1_Q=/0x0/filters:format(png)/pic5376430.png
164091;Reis de Portugal;12733;2;4;30;30;https://cf.geekdo-images.com/VTObPLrc3H9w4QzIN5h-nA__thumb/img/dLCaAElRdhPOsePKDb74Jff3VEY=/fit-in/200x150/filters:strip_icc()/pic2207429.png;https://cf.geekdo-images.com/VTObPLrc3H9w4QzIN5h-nA__original/img/Url0MGyhO8IP2mhqsGuFTL7VZo4=/0x0/filters:format(png)/pic2207429.png
241831;Reykholt;1515;1;4;30;60;https://cf.geekdo-images.com/wU53jsng9uxfxuAoIeTjDA__thumb/img/ShUtMDXzeruNkjbG9mgavx7Z2yw=/fit-in/200x150/filters:strip_icc()/pic3877054.jpg;https://cf.geekdo-images.com/wU53jsng9uxfxuAoIeTjDA__original/img/FXWnJoKS3LFiOfvAhAxovXE_9Xg=/0x0/filters:format(jpeg)/pic3877054.jpg
191986;Rhodes;4766;2;5;60;90;https://cf.geekdo-images.com/VgO8U-aD4HF7Mch9iN9I2Q__thumb/img/7TpW9H1O_UUh0i6xlj2sPOWzkEE=/fit-in/200x150/filters:strip_icc()/pic2923331.jpg;https://cf.geekdo-images.com/VgO8U-aD4HF7Mch9iN9I2Q__original/img/bWruUhcoK-TK5TgkIcZT3JawV40=/0x0/filters:format(jpeg)/pic2923331.jpg
218293;Rise to Nobility;1505;1;6;25;150;https://cf.geekdo-images.com/BuBDgepjeEixyYcD4wmfbw__thumb/img/mI8DZ7DyGYzKB9J8qzicH9-K9XE=/fit-in/200x150/filters:strip_icc()/pic4123139.jpg;https://cf.geekdo-images.com/BuBDgepjeEixyYcD4wmfbw__original/img/O7hfUlla5Ysxeh5D1yRD6eCI8eU=/0x0/filters:format(jpeg)/pic4123139.jpg
234093;Rob 'n Run;6883;2;5;45;60;https://cf.geekdo-images.com/S7AKOtv4QD3k9z8g0ftQXA__thumb/img/eFPMbiYoUdCabfH3h5PPLKPeRtM=/fit-in/200x150/filters:strip_icc()/pic3736441.jpg;https://cf.geekdo-images.com/S7AKOtv4QD3k9z8g0ftQXA__original/img/mdh-2bL2KsKEdkQ_hq8WX1PWrkw=/0x0/filters:format(jpeg)/pic3736441.jpg
74390;Rolling Freight;2795;2;5;120;180;https://cf.geekdo-images.com/4PpJtnuz686Vf6SmWqPwdg__thumb/img/NkGGmLorKgiBkYvnaxdJNF7Y80w=/fit-in/200x150/filters:strip_icc()/pic1289852.jpg;https://cf.geekdo-images.com/4PpJtnuz686Vf6SmWqPwdg__original/img/oXKcYxOJGH3SAc4u8-fCPiRs9ss=/0x0/filters:format(jpeg)/pic1289852.jpg
205498;Round House;2286;2;5;60;90;https://cf.geekdo-images.com/NW5QvdcOPHn-pE1Qu_yF7A__thumb/img/CafSi5yJzB8q73QLgVf7SNXqeNE=/fit-in/200x150/filters:strip_icc()/pic4120046.png;https://cf.geekdo-images.com/NW5QvdcOPHn-pE1Qu_yF7A__original/img/TVdRc-VOXlE7bpmTXtaz2X3hhoE=/0x0/filters:format(png)/pic4120046.png
9220;Saboteur;1069;3;10;30;30;https://cf.geekdo-images.com/0vJwP6NGa7GHPZKC3gplUw__thumb/img/B3j-is62fP09eHP34uFG_gsxNQs=/fit-in/200x150/filters:strip_icc()/pic3989824.jpg;https://cf.geekdo-images.com/0vJwP6NGa7GHPZKC3gplUw__original/img/TJDCd-PYySXmhQn-LC-y88JPA7U=/0x0/filters:format(jpeg)/pic3989824.jpg
199561;Sagrada;145;1;4;30;45;https://cf.geekdo-images.com/PZt3EAAGV3dFIVuwMR0AEw__thumb/img/1m4aryOW1MOpq-8jGkF6gDTJmCY=/fit-in/200x150/filters:strip_icc()/pic3525224.jpg;https://cf.geekdo-images.com/PZt3EAAGV3dFIVuwMR0AEw__original/img/5ug9EeKlH_ucJEUXaFpTZbBJ1GY=/0x0/filters:format(jpeg)/pic3525224.jpg
3;Samurai;208;2;4;30;60;https://cf.geekdo-images.com/o9-sNXmFS_TLAb7ZlZ4dRA__thumb/img/22MSUC0-ZWgwzhi_VKIbENJik1w=/fit-in/200x150/filters:strip_icc()/pic3211873.jpg;https://cf.geekdo-images.com/o9-sNXmFS_TLAb7ZlZ4dRA__original/img/TPKZgpNxB_C73RNbhKyP6UR76X0=/0x0/filters:format(jpeg)/pic3211873.jpg
276830;Sanctum;1796;2;4;90;90;https://cf.geekdo-images.com/dRudo6DXsbwaUVvT6SBtLQ__thumb/img/Kk95zESrJLavZtvqZSWAJlN0214=/fit-in/200x150/filters:strip_icc()/pic4993715.jpg;https://cf.geekdo-images.com/dRudo6DXsbwaUVvT6SBtLQ__original/img/dkj2b8hPZ7aZhi7FiY5PvrS2fDE=/0x0/filters:format(jpeg)/pic4993715.jpg
8125;Santiago;686;3;5;75;75;https://cf.geekdo-images.com/m9oXNgELQIwMJU-C1aShow__thumb/img/LMn7kYMl0oHpGJwOOi9L9up9ekY=/fit-in/200x150/filters:strip_icc()/pic180497.jpg;https://cf.geekdo-images.com/m9oXNgELQIwMJU-C1aShow__original/img/1gzRHVNUH89MhbaYHBrwBNooqns=/0x0/filters:format(jpeg)/pic180497.jpg
104347;Santiago de Cuba;977;2;4;40;75;https://cf.geekdo-images.com/v4Rk-agCbbmMNo3vUQ1IcA__thumb/img/470q2hMMP1V-75tKqU7OBh6WzjU=/fit-in/200x150/filters:strip_icc()/pic1918128.jpg;https://cf.geekdo-images.com/v4Rk-agCbbmMNo3vUQ1IcA__original/img/OBN9ylDZWWIP302NRxikjE4l9bc=/0x0/filters:format(jpeg)/pic1918128.jpg
170199;Solarius Mission;2716;2;4;60;150;https://cf.geekdo-images.com/1d5NyoCPSt09l7iJeRzHNQ__thumb/img/nRtmjA8PjCOfHPB2ZS2ocr-Faw8=/fit-in/200x150/filters:strip_icc()/pic3138497.jpg;https://cf.geekdo-images.com/1d5NyoCPSt09l7iJeRzHNQ__original/img/vrm_K9i3RI7oCW7O-zM6XVA1WB0=/0x0/filters:format(jpeg)/pic3138497.jpg
20551;Shogun;187;3;5;90;120;https://cf.geekdo-images.com/j6UzppDoJv9tKHQl-pWpIw__thumb/img/BcVo6uokndgMSoFdIdEmgu-2C1o=/fit-in/200x150/filters:strip_icc()/pic3336315.jpg;https://cf.geekdo-images.com/j6UzppDoJv9tKHQl-pWpIw__original/img/Yu1D0BNyavkX_SV8EK056FxfRsw=/0x0/filters:format(jpeg)/pic3336315.jpg
177678;Signorie;703;2;4;90;120;https://cf.geekdo-images.com/Nq7RZa78giIv6IdfPWCMvQ__thumb/img/-CUyKUt1lFJjpivhset1eX0Swso=/fit-in/200x150/filters:strip_icc()/pic2684003.jpg;https://cf.geekdo-images.com/Nq7RZa78giIv6IdfPWCMvQ__original/img/Yu4EM1Xl6KgxdSrrROspBLMKn3U=/0x0/filters:format(jpeg)/pic2684003.jpg
255037;Silk;4291;2;4;45;45;https://cf.geekdo-images.com/09W9RVgQH3iczXgNpc4t4A__thumb/img/7Gnu1fAzXwPA83uqNtMtd5fobvo=/fit-in/200x150/filters:strip_icc()/pic4232947.jpg;https://cf.geekdo-images.com/09W9RVgQH3iczXgNpc4t4A__original/img/Q9MMOtDDzodc6c93FWbM1UmBUG0=/0x0/filters:format(jpeg)/pic4232947.jpg
239964;Slam Burger;;4;8;0;0;https://cf.geekdo-images.com/wIdJWjYScBDpUbspXnLi-Q__thumb/img/X5IhQZnRE46D-vUlcvgw_s3Wp3I=/fit-in/200x150/filters:strip_icc()/pic3971558.jpg;https://cf.geekdo-images.com/wIdJWjYScBDpUbspXnLi-Q__original/img/-Fnc0Wj9b0fBUkLCQZu4VbABv0c=/0x0/filters:format(jpeg)/pic3971558.jpg
246684;Smartphone Inc.;698;1;5;60;90;https://cf.geekdo-images.com/Ndctxvd7kBXYubeYRKRqzw__thumb/img/hJtPqShJYdb8DsdnTvpdkXrx-CU=/fit-in/200x150/filters:strip_icc()/pic4258616.jpg;https://cf.geekdo-images.com/Ndctxvd7kBXYubeYRKRqzw__original/img/gGL8Fh-pFgTqB3lF-47ClLYLu8s=/0x0/filters:format(jpeg)/pic4258616.jpg
206802;Spaghetti;9667;2;4;20;30;https://cf.geekdo-images.com/c4TmP5Ea8M1oBqtdZR6evw__thumb/img/1jlo5FQLG37lZvT_9GGkPHOG8ow=/fit-in/200x150/filters:strip_icc()/pic3159338.jpg;https://cf.geekdo-images.com/c4TmP5Ea8M1oBqtdZR6evw__original/img/r8bJKyP3hmpvWvcw6Dro7IU4aUg=/0x0/filters:format(jpeg)/pic3159338.jpg
148228;Splendor;165;2;4;30;30;https://cf.geekdo-images.com/rwOMxx4q5yuElIvo-1-OFw__thumb/img/D4hkkHfOgu22PwgJomjplWAveuo=/fit-in/200x150/filters:strip_icc()/pic1904079.jpg;https://cf.geekdo-images.com/rwOMxx4q5yuElIvo-1-OFw__original/img/Y2tUGY2nPTGd_epJYKQXPkQD8AM=/0x0/filters:format(jpeg)/pic1904079.jpg
121410;Steam Park;904;2;4;60;60;https://cf.geekdo-images.com/HA0kPnNDm7O0gh0ukPcGcw__thumb/img/zZNZq4mvxP9y-MxZQyeHvFsDhdk=/fit-in/200x150/filters:strip_icc()/pic2656302.jpg;https://cf.geekdo-images.com/HA0kPnNDm7O0gh0ukPcGcw__original/img/o98tRHk91X2oFIsYeyXvrJJixss=/0x0/filters:format(jpeg)/pic2656302.jpg
266980;Steamopolis;7214;1;4;60;100;https://cf.geekdo-images.com/qsklgT-nAk7ZIlkwDb2QJA__thumb/img/NOt5g9sFjMbnGxWDRsYWC9OhX78=/fit-in/200x150/filters:strip_icc()/pic4895869.jpg;https://cf.geekdo-images.com/qsklgT-nAk7ZIlkwDb2QJA__original/img/IFH3PcElq6E5xmEYiBANZ5MRqmk=/0x0/filters:format(jpeg)/pic4895869.jpg
204;Stephenson's Rocket;1236;2;4;60;60;https://cf.geekdo-images.com/ti-qlB8U-mds0ebW6qt5lA__thumb/img/SIquy8lqo62MojDnv5ZWDIVQY3A=/fit-in/200x150/filters:strip_icc()/pic3683645.jpg;https://cf.geekdo-images.com/ti-qlB8U-mds0ebW6qt5lA__original/img/Ybtu59ukKHEdmxJwCAfH0N-_ZH8=/0x0/filters:format(jpeg)/pic3683645.jpg
257669;Streaming;8750;3;5;30;30;https://cf.geekdo-images.com/XEMgh5_zLTTOjUa2Imz5RQ__thumb/img/hqWPdRz54unplRy1Upuahz2N3kc=/fit-in/200x150/filters:strip_icc()/pic4256163.jpg;https://cf.geekdo-images.com/XEMgh5_zLTTOjUa2Imz5RQ__original/img/O--5paShygLlG-_eGQIvTXAxiPM=/0x0/filters:format(jpeg)/pic4256163.jpg
186501;Super PACS;11719;2;4;30;60;https://cf.geekdo-images.com/DSDqBKtH7UYdDjC0OHNZ6A__thumb/img/qEVGzq_zOWN_geeaBZd6mB22Y9I=/fit-in/200x150/filters:strip_icc()/pic2853052.png;https://cf.geekdo-images.com/DSDqBKtH7UYdDjC0OHNZ6A__original/img/tTX_eV7kdt79iiVbaQvvpBKEUZo=/0x0/filters:format(png)/pic2853052.png
